<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
TCSG;D;201015;000000;1919.4;1930.2;1850.2;1888.6;198448
TCSG;D;201016;000000;1874.2;1878.2;1754.8;1827.6;691201
TCSG;D;201019;000000;1800.2;1839.4;1750;1766.6;261515
TCSG;D;201020;000000;1769;1835.2;1653;1702;609784
TCSG;D;201021;000000;1686;1757;1680.4;1739.8;372816
TCSG;D;201022;000000;1740;1812;1710.4;1805.4;332204
TCSG;D;201023;000000;1800;1838.2;1791.2;1821.8;136989
TCSG;D;201026;000000;1830;1898;1796.2;1877.8;491069
TCSG;D;201027;000000;1871.8;2000;1839.2;1965;584307
TCSG;D;201028;000000;1955;2050;1859;1937;1022468
TCSG;D;201029;000000;1966;1984.8;1851;1891;234602
TCSG;D;201030;000000;1886;1899.8;1807;1872.2;165708
TCSG;D;201102;000000;1870;1980;1834.2;1946.6;236380
TCSG;D;201103;000000;1949.8;2021;1935;1989.2;209591
TCSG;D;201105;000000;2021.8;2125.6;2010;2088.2;493232
TCSG;D;201106;000000;2070;2174.8;2050.8;2144.8;267547
TCSG;D;201109;000000;2160;2220.2;2111;2136;355904
TCSG;D;201110;000000;2100.6;2172.4;2100.4;2158.4;271336
TCSG;D;201111;000000;2080.4;2297.6;2070;2279;429904
TCSG;D;201112;000000;2290;2366;2210;2246.8;320271
TCSG;D;201113;000000;2258.6;2338;2252.6;2337.6;248239
TCSG;D;201116;000000;2360;2462.2;2273.8;2299.8;308308
TCSG;D;201117;000000;2300;2363;2252;2284.4;213528
TCSG;D;201118;000000;2283;2331.8;2265;2300;233018
TCSG;D;201119;000000;2322.8;2330;2260;2261;136952
TCSG;D;201120;000000;2260;2285;2226.2;2263;98940
TCSG;D;201123;000000;2257;2291.6;2165;2219.4;292733
TCSG;D;201124;000000;2199.8;2215;2170;2201.2;156077
TCSG;D;201125;000000;2212.6;2344.6;2174;2304.6;3141131
TCSG;D;201126;000000;2300;2304.4;2202.8;2244;197513
TCSG;D;201127;000000;2239.2;2319.6;2233.4;2289.8;208050
TCSG;D;201130;000000;2315.8;2361.2;2270;2360;326674
TCSG;D;201201;000000;2376.2;2395.2;2321.6;2373;164073
TCSG;D;201202;000000;2390;2489;2360.2;2445.8;218229
TCSG;D;201203;000000;2465;2473.2;2351;2368.2;329053
TCSG;D;201204;000000;2360;2447.6;2325;2440;152327
TCSG;D;201207;000000;2449.4;2451;2370.8;2387;185600
TCSG;D;201208;000000;2396;2400;2311.4;2357;167916
TCSG;D;201209;000000;2366.8;2503.6;2339.2;2456.6;282823
TCSG;D;201210;000000;2445.8;2493.8;2244;2271.6;457260
TCSG;D;201211;000000;2288;2359.2;2235.4;2268;990121
TCSG;D;201214;000000;2286;2330;2273.8;2308.4;303720
TCSG;D;201215;000000;2309.2;2398.6;2270;2383.8;248318
TCSG;D;201216;000000;2378.2;2448.4;2351.4;2423;280474
TCSG;D;201217;000000;2430;2479;2401;2446;346303
TCSG;D;201218;000000;2440.6;2469;2370.2;2430;223737
TCSG;D;201221;000000;2444.4;2451.8;2310;2382.2;296793
TCSG;D;201222;000000;2378;2420;2334.2;2376.4;180403
TCSG;D;201223;000000;2398.2;2398.2;2343.2;2366.4;73313
TCSG;D;201224;000000;2379.4;2396.8;2345;2355;65467
TCSG;D;201225;000000;2353.8;2362.6;2325.2;2343.2;61523
TCSG;D;201228;000000;2335;2370;2330.4;2365.2;90224
TCSG;D;201229;000000;2374.8;2399;2332.6;2360.2;136617
TCSG;D;201230;000000;2357.6;2406;2342;2360.4;150406
TCSG;D;210104;000000;2398.6;2515.8;2376.2;2473;301681
TCSG;D;210105;000000;2462;2514;2420.4;2454;229705
TCSG;D;210106;000000;2431;2499;2425;2469.8;213323
TCSG;D;210108;000000;2598.8;2954.8;2566;2925;796113
